City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.58,44,16,5.07,GS,1696152472
1,at taj,24.2049,23.2857,31.37,24,100,7.12,LY,1696152473
2,avarua,-21.2078,-159.775,25.03,94,75,3.6,CK,1696152473
3,bredasdorp,-34.5322,20.0403,16.94,52,0,4.95,ZA,1696152375
4,olonkinbyen,70.9221,-8.7187,0.82,65,100,2.83,SJ,1696152474
5,colac,-38.3333,143.5833,10.65,72,18,2.82,AU,1696152475
6,iqaluit,63.7506,-68.5145,2.85,93,100,3.09,CA,1696152475
7,aykhal,66.0,111.5,1.71,94,100,5.36,RU,1696152475
8,susuman,62.7833,148.1667,-1.12,73,11,1.79,RU,1696152476
9,gurupi,-11.7292,-49.0686,26.37,44,20,1.43,BR,1696152197
10,longyearbyen,78.2186,15.6401,-4.09,63,75,8.23,SJ,1696152476
11,inirida,3.8653,-67.9239,23.35,98,100,0.78,CO,1696152476
12,port-aux-francais,-49.35,70.2167,5.86,96,100,15.18,TF,1696152477
13,tura,25.5198,90.2201,28.23,87,94,0.79,IN,1696152477
14,waitangi,-43.9535,-176.5597,9.9,82,40,4.92,NZ,1696152477
15,prado,-17.3411,-39.2208,22.39,77,68,2.01,BR,1696152266
16,vilyuchinsk,52.9306,158.4028,7.18,81,9,0.9,RU,1696152478
17,ushuaia,-54.8,-68.3,4.81,45,0,3.6,AR,1696152372
18,puerto ayora,-0.7393,-90.3518,22.53,95,100,0.89,EC,1696152479
19,college,64.8569,-147.8028,7.18,66,75,3.6,US,1696152479
20,kerikeri,-35.2268,173.9474,10.17,88,8,2.72,NZ,1696152480
21,badger,64.8,-147.5333,7.14,67,100,3.6,US,1696152480
22,wabag,-5.4781,143.7021,13.85,98,75,0.42,PG,1696152480
23,gilgit,35.9221,74.3087,24.71,18,1,1.25,PK,1696152481
24,west island,-12.1568,96.8225,26.99,69,75,8.75,CC,1696152481
25,afaahiti,-17.75,-149.2833,23.93,86,3,9.07,PF,1696152481
26,wainwright,52.839,-110.8572,5.38,78,100,2.32,CA,1696152482
27,blackmans bay,-43.0167,147.3167,11.4,60,12,6.4,AU,1696152482
28,arraial do cabo,-22.9661,-42.0278,20.98,88,75,6.17,BR,1696152482
29,kattivakkam,13.2167,80.3167,34.48,61,82,4.58,IN,1696152483
30,edinburgh of the seven seas,-37.0676,-12.3116,9.72,52,92,13.77,SH,1696152483
31,whitehorse,60.7161,-135.0538,4.43,87,100,7.2,CA,1696152483
32,ancud,-41.8697,-73.8203,7.62,86,100,0.98,CL,1696152230
33,khorixas,-20.3667,14.9667,31.6,9,0,4.79,NA,1696152484
34,anadyr,64.75,177.4833,-0.72,74,0,5.0,RU,1696152485
35,yilan,24.757,121.753,30.01,87,31,2.9,TW,1696152485
36,bethel,41.3712,-73.414,15.01,87,0,0.45,US,1696152485
37,atafu village,-8.5421,-172.5159,28.86,70,44,3.44,TK,1696152486
38,port elizabeth,-33.918,25.5701,17.83,81,100,3.6,ZA,1696152250
39,lompoc,34.6391,-120.4579,14.32,87,100,2.06,US,1696152486
40,tiksi,71.6872,128.8694,-5.84,90,50,3.45,RU,1696152486
41,hasaki,35.7333,140.8333,24.22,87,89,5.18,JP,1696152487
42,happy valley-goose bay,53.3168,-60.3315,13.17,71,100,4.63,CA,1696152487
43,santa maria del oro,25.9333,-105.3667,16.87,53,99,1.21,MX,1696152487
44,fort st. john,56.2499,-120.8529,6.94,76,75,3.09,CA,1696152488
45,athens,37.9795,23.7162,28.1,39,20,4.12,GR,1696151612
46,adamstown,-25.066,-130.1015,20.53,85,47,11.16,PN,1696152488
47,vilyuysk,63.7553,121.6247,10.56,65,98,4.02,RU,1696152489
48,hamilton,39.1834,-84.5333,16.89,94,20,2.06,US,1696152489
49,lander,42.833,-108.7307,16.45,39,0,5.66,US,1696152489
50,bajitpur,24.2167,90.95,33.05,66,82,3.14,BD,1696152490
51,pathein,16.7833,94.7333,25.43,92,100,3.23,MM,1696152490
52,griffith,41.5284,-87.4237,19.38,85,0,2.57,US,1696152490
53,nizhnesortymskiy,62.4397,71.7603,6.27,71,100,8.62,RU,1696152491
54,carnarvon,-24.8667,113.6333,20.64,62,1,8.6,AU,1696152491
55,bardai,11.65,7.2333,26.57,69,97,5.3,NG,1696152491
56,yellowknife,62.456,-114.3525,6.9,94,100,3.6,CA,1696152492
57,new norfolk,-42.7826,147.0587,12.06,71,34,3.22,AU,1696152492
58,fortuna,40.5982,-124.1573,9.51,96,0,0.0,US,1696152492
59,puerto natales,-51.7236,-72.4875,1.32,89,65,2.97,CL,1696152493
60,colonia,50.9333,6.95,22.16,67,0,3.09,DE,1696152425
61,gizo,-8.103,156.8419,27.24,84,100,5.78,SB,1696152493
62,burley,42.5357,-113.7928,8.44,97,100,2.06,US,1696152494
63,laguna,38.421,-121.4238,16.14,90,100,0.45,US,1696152494
64,azhikkal,11.9,75.3667,27.08,86,100,3.18,IN,1696152494
65,okha,53.5739,142.9478,8.6,95,67,4.95,RU,1696152495
66,papatowai,-46.5619,169.4708,13.34,67,100,3.51,NZ,1696152495
67,coquimbo,-29.9533,-71.3436,12.85,82,100,1.03,CL,1696152434
68,merizo village,13.2658,144.6691,28.32,91,84,2.2,GU,1696152496
